Type,Type2,Price,Sold Date,Bedrooms,Bathrooms,Area,Acres,Age,DoM,Unit No,Building No,Street,City,Address
House,3 Storey,2269500,15/06/2017,8,4,3971,0.14,108,67,2375,W 7TH,"AVENUE,",Vancouver,"2375 W 7TH AVENUE, Vancouver"
House,3 Storey,2269500,15/06/2017,8,4,3971,0.14,108,67,2375,W 7TH,"AVENUE,",Vancouver,"2375 W 7TH AVENUE, Vancouver"
House,3 Storey,2269500,15/06/2017,7,4,3964,0.14,108,1,2375,W 7TH,"AVENUE,",Vancouver,"2375 W 7TH AVENUE, Vancouver"
Townhouse,3 Storey,1093950,10/07/2017,4,2,1365,,34,8,832,W 7TH,"AVENUE,",Vancouver,"832 W 7TH AVENUE, Vancouver"
Townhouse,Ground Level Unit,509150,14/12/2017,2,1,660,,37,7,1272,W 7TH,"AVENUE,",Vancouver,"1272 W 7TH AVENUE, Vancouver"
Townhouse,"3 Storey, Inside Unit",754800,14/11/2017,3,2,1348,,11,31,1157,W 73RD,"AVENUE,",Vancouver,"1157 W 73RD AVENUE, Vancouver"
Townhouse,3 Storey,833000,10/04/2017,3,2,1271,,11,26,1169,W 73RD,"AVENUE,",Vancouver,"1169 W 73RD AVENUE, Vancouver"
House,1 1/2 Storey,1587375,23/10/2017,5,2,2100,0.09,58,194,687,W 71ST,"AVENUE,",Vancouver,"687 W 71ST AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2805000,08/02/2018,4,2,2766,0.18,79,88,4724,W 6TH,"AVENUE,",Vancouver,"4724 W 6TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,4003500,26/02/2018,8,7,4490,0.19,28,22,4566,W 6TH,"AVENUE,",Vancouver,"4566 W 6TH AVENUE, Vancouver"
Townhouse,2 Storey,746980,19/01/2018,3,2,1091,,34,5,1290,W 6TH,"AVENUE,",Vancouver,"1290 W 6TH AVENUE, Vancouver"
Townhouse,3 Storey,1156000,16/12/2017,3,2,1425,,38,6,2146,W 6TH,"AVENUE,",Vancouver,"2146 W 6TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2346000,27/10/2017,6,4,2504,0.09,34,15,4491,W 6TH,"AVENUE,",Vancouver,"4491 W 6TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2856000,14/10/2017,6,3,3207,0.13,94,18,4446,W 6TH,"AVENUE,",Vancouver,"4446 W 6TH AVENUE, Vancouver"
Townhouse,3 Storey,1326000,13/10/2017,4,2,1615,,4,4,750,W 6TH,"AVENUE,",Vancouver,"750 W 6TH AVENUE, Vancouver"
House,4 Level Split,2550000,13/12/2017,14,7,4521,0.13,106,64,2393,W 6TH,"AVENUE,",Vancouver,"2393 W 6TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2890000,24/08/2017,7,3,3875,0.17,93,60,4685,W 6TH,"AVENUE,",Vancouver,"4685 W 6TH AVENUE, Vancouver"
Townhouse,2 Storey,648125,12/01/2017,3,2,1164,,35,76,1274,W 6TH,"AVENUE,",Vancouver,"1274 W 6TH AVENUE, Vancouver"
House,"4 Level Split, Other",2295000,26/07/2017,10,5,4920,0.14,106,36,2483,W 6TH,"AVENUE,",Vancouver,"2483 W 6TH AVENUE, Vancouver"
House,"4 Level Split, Other",2295000,26/07/2017,10,5,4920,0.14,106,36,2483,W 6TH,"AVENUE,",Vancouver,"2483 W 6TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2720000,15/12/2017,4,3,2440,0.15,79,28,4774,W 6TH,"AVENUE,",Vancouver,"4774 W 6TH AVENUE, Vancouver"
House,2 Storey,1351500,09/08/2017,4,3,2504,0.08,46,27,807,W 69TH,"AVENUE,",Vancouver,"807 W 69TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2384250,27/07/2017,5,5,2803,0.09,3,50,1517,W 66TH,"AVENUE,",Vancouver,"1517 W 66TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,1190000,18/06/2017,4,2,1920,0.08,68,165,836,W 66TH,"AVENUE,",Vancouver,"836 W 66TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1705100,13/08/2017,5,3,2359,0.09,18,131,1656,W 65TH,"AVENUE,",Vancouver,"1656 W 65TH AVENUE, Vancouver"
House,Split Entry,1785000,12/10/2017,5,3,2587,0.13,55,14,595,W 65TH,"AVENUE,",Vancouver,"595 W 65TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,1393150,13/03/2018,7,3,2687,0.08,72,2,1671,W 64TH,"AVENUE,",Vancouver,"1671 W 64TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2082500,13/07/2017,6,4,2591,0.09,27,23,276,W 64TH,"AVENUE,",Vancouver,"276 W 64TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,1190000,26/06/2017,4,2,1950,0.08,71,107,1243,W 64TH,"AVENUE,",Vancouver,"1243 W 64TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,1551250,27/12/2017,4,2,1685,0.08,80,69,1317,W 64TH,"AVENUE,",Vancouver,"1317 W 64TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,1551250,27/12/2017,4,2,1685,0.08,80,69,1317,W 64TH,"AVENUE,",Vancouver,"1317 W 64TH AVENUE, Vancouver"
House,2 Storey,1406750,11/01/2018,4,2,2257,0.09,44,2,1545,W 63RD,"AVENUE,",Vancouver,"1545 W 63RD AVENUE, Vancouver"
House,3 Storey,2125000,18/07/2017,5,4,2111,0.08,24,9,292,W 63RD,"AVENUE,",Vancouver,"292 W 63RD AVENUE, Vancouver"
House,3 Storey,2125000,18/07/2017,5,4,2111,0.08,24,9,292,W 63RD,"AVENUE,",Vancouver,"292 W 63RD AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1806250,11/04/2017,6,4,2430,0.08,27,117,890,W 63RD,"AVENUE,",Vancouver,"890 W 63RD AVENUE, Vancouver"
House,2 Storey,1768000,14/06/2017,6,4,2290,0.09,30,106,225,W 63RD,"AVENUE,",Vancouver,"225 W 63RD AVENUE, Vancouver"
